nome_municipio,codigo_ibge
CANDEIAS DO JAMARI,1100809
PORTO VELHO,1100205
RIO PRETO DA EVA,1303569
MANAUS,1302603
MANACAPURU,1302504
NOVO AIRÃO,1303205
IRANDUBA,1301852
CAREIRO DA VÁRZEA,1301159
AUTAZES,1300300
ITACOATIARA,1301902
MANAQUIRI,1302553
PRESIDENTE FIGUEIREDO,1303536
SILVES,1304005
CAREIRO,1301100
ITAPIRANGA,1302009
ALTO ALEGRE,1400050
BONFIM,1400159
MUCAJAÍ,1400308
CANTÁ,1400175
BOA VISTA,1400100
CARACARAÍ,1400209
IRACEMA,1400282
RORAINÓPOLIS,1400472
SÃO LUIZ,1400605
CAROEBE,1400233
SÃO JOÃO DA BALIZA,1400506
CASTANHAL,1502400
BARCARENA,1501303
ANANINDEUA,1500800
BENEVIDES,1501501
BELÉM,1501402
MARITUBA,1504422
SANTA IZABEL DO PARÁ,1506500
SANTA BÁRBARA DO PARÁ,1506351
SANTARÉM,1506807
BELTERRA,1501451
MOJUÍ DOS CAMPOS,1504752
SANTANA,1600600
MAZAGÃO,1600402
MACAPÁ,1600303
FÁTIMA,1707553
TOCANTÍNIA,1721109
BREJINHO DE NAZARÉ,1703701
BARROLÂNDIA,1703107
APARECIDA DO RIO NEGRO,1701101
PALMAS,1721000
SILVANÓPOLIS,1720655
OLIVEIRA DE FÁTIMA,1715507
IPUEIRAS,1709807
MIRANORTE,1713304
PUGMIL,1718451
PORTO NACIONAL,1718204
PARAÍSO DO TOCANTINS,1716109
MIRACEMA DO TOCANTINS,1713205
LAJEADO,1712009
MONTE DO CARMO,1713601
SUCUPIRA,1720853
LAGOA DA CONFUSÃO,1711902
JAÚ DO TOCANTINS,1711506
PEIXE,1716604
PALMEIRÓPOLIS,1715754
SANDOLÂNDIA,1718840
SÃO SALVADOR DO TOCANTINS,1720259
SÃO VALÉRIO,1720499
TALISMÃ,1720978
ALIANÇA DO TOCANTINS,1700350
ALVORADA,1700707
ARAGUAÇU,1702000
CARIRI DO TOCANTINS,1703867
DUERÉ,1707306
FIGUEIRÓPOLIS,1707652
FORMOSO DO ARAGUAIA,1708205
GURUPI,1709500
CRIXÁS DO TOCANTINS,1706258
PAÇO DO LUMIAR,2107506
PRESIDENTE JUSCELINO,2109205
ROSÁRIO,2109601
SANTA RITA,2110203
SÃO JOSÉ DE RIBAMAR,2111201
ALCÂNTARA,2100204
ICATU,2105104
BACABEIRA,2101251
MORROS,2107100
RAPOSA,2109452
SÃO LUÍS,2111300
CACHOEIRA GRANDE,2102374
AXIXÁ,2101103
LAJEADO NOVO,2105989
JOÃO LISBOA,2105500
PORTO FRANCO,2109007
SÃO JOÃO DO PARAÍSO,2111052
SENADOR LA ROCQUE,2111763
VILA NOVA DOS MARTÍRIOS,2112852
RIBAMAR FIQUENE,2109551
SÃO FRANCISCO DO BREJÃO,2110856
SÃO PEDRO DA ÁGUA BRANCA,2111532
SÍTIO NOVO,2111805
AÇAILÂNDIA,2100055
AMARANTE DO MARANHÃO,2100600
BURITIRANA,2102358
CAMPESTRE DO MARANHÃO,2102556
CAROLINA,2102804
CIDELÂNDIA,2103257
DAVINÓPOLIS,2103752
ESTREITO,2104057
GOVERNADOR EDISON LOBÃO,2104552
IMPERATRIZ,2105302
ITINGA DO MARANHÃO,2105427
MONTES ALTOS,2107001
JOSÉ DE FREITAS,2205508
LAGOA ALEGRE,2205557
LAGOA DO PIAUÍ,2205581
MIGUEL LEÃO,2206308
COIVARAS,2202737
CURRALINHOS,2203255
TERESINA,2211001
MONSENHOR GIL,2206407
NAZÁRIA,2206720
TIMON,2112209
ALTOS,2200400
BENEDITINOS,2201606
UNIÃO,2211100
DEMERVAL LOBÃO,2203305
CAUCAIA,2303709
TRAIRI,2313500
GUAIÚBA,2304954
HORIZONTE,2305233
ITAITINGA,2306256
AQUIRAZ,2301000
CASCAVEL,2303501
EUSÉBIO,2304285
FORTALEZA,2304400
MARACANAÚ,2307650
MARANGUAPE,2307700
PACAJUS,2309607
PACATUBA,2309706
PARACURU,2310209
PARAIPABA,2310258
PINDORETAMA,2310852
SÃO GONÇALO DO AMARANTE,2312403
SÃO LUÍS DO CURU,2312601
CHOROZINHO,2303956
BARBALHA,2301901
CARIRIAÇU,2303204
JUAZEIRO DO NORTE,2307304
CRATO,2304202
SANTANA DO CARIRI,2312106
JARDIM,2307106
MISSÃO VELHA,2308401
NOVA OLINDA,2309201
FARIAS BRITO,2304301
ALCÂNTARAS,2300507
FORQUILHA,2304350
VARJOTA,2313955
CARIRÉ,2303105
COREAÚ,2304004
FRECHEIRINHA,2304509
GRAÇA,2304657
GROAÍRAS,2304905
MASSAPÊ,2308005
MERUOCA,2308203
MORAÚJO,2308807
